auc,auc_abs,ap,tpr@1fpr,tpr@5fpr,tpr@1fpr_abs,poison_rate,auc_target_class,auc_target_class_abs,tpr@1fpr_target_class,tpr@1fpr_target_class_abs,auc_target_class_best,direction,tpr@1fpr_target_class_best,elimination_rate,sacrifice_rate,precision,recall,f1,n_removed,residual_poison_rate,attack,rate,hash,n_bits,family,threshold,detector,rule,t_hash_s,t_detect_s
0.656307865263158,0.5550350063157895,0.14853610750589308,0.0,0.406,0.0,0.05,0.42112816931216934,0.44912884656084656,0.0,0.0,0.5788718306878307,-1,0.0,0.4088,0.37549473684210527,0.054194506310319225,0.4088,0.09570184474201704,18858,0.04746002183546336,phash_adaptive,0.05,ahash,64,spatial,mean,bit_em,mad,0.146,0.294
0.4123499957894736,0.49718240842105266,0.0409182628437028,0.0084,0.0412,0.0048,0.05,0.359338582010582,0.4915503492063491,0.0028,0.0028,0.640661417989418,-1,0.0308,0.0,0.0,0.0,0.0,0.0,0,0.05,phash_adaptive,0.05,ahash,64,spatial,mean,hamming_knn,mad,0.146,0.436
0.5097059789473684,0.1828704505263158,0.05906004004953247,0.0,0.0,0.0,0.05,0.40251767195767196,0.40251767195767196,0.0032,0.0032,0.597482328042328,-1,0.0032,0.0168,0.1532842105263158,0.005735354362965997,0.0168,0.008551359055278427,7323,0.05759542610773953,phash_adaptive,0.05,ahash,64,spatial,mean,hamming_ball,mad,0.146,0.428
0.41388965473684214,0.4754895747368421,0.04507181189803853,0.0,0.0,0.0,0.05,0.3734045714285714,0.4626411851851852,0.0,0.0,0.6265954285714286,-1,0.0296,0.1564,0.10686315789473684,0.07152002926650813,0.1564,0.09815488891678173,5467,0.047358138908225364,phash_adaptive,0.05,ahash,64,spatial,mean,block_collision,mad,0.146,0.159
0.5084809263157894,0.46943330526315785,0.049409558223959,0.0008,0.0488,0.0008,0.05,0.4838273015873016,0.4673966560846561,0.008,0.008,0.5161726984126984,-1,0.008,0.0,0.0009263157894736842,0.0,0.0,0.0,44,0.05004403875410361,phash_adaptive,0.05,ahash,64,spatial,mean,hash_spectral,mad,0.146,0.045
0.4227515915789474,0.47259820210526315,0.04089402360002901,0.0,0.0108,0.0,0.05,0.38811191534391537,0.5068289947089947,0.0068,0.0088,0.6118880846560846,-1,0.012,0.0,0.0005684210526315789,0.0,0.0,0.0,27,0.05002701458787746,phash_adaptive,0.05,ahash,64,spatial,mean,hash_stability,mad,0.146,0.029
0.37757040842105266,0.5413870905263158,0.036884325448966526,0.0,0.0,0.0,0.05,0.3831690158730159,0.5519379470899471,0.0076,0.0352,0.6168309841269841,-1,0.0352,0.0,0.0015578947368421053,0.0,0.0,0.0,74,0.05007410968232985,phash_adaptive,0.05,ahash4,16,spatial,mean,bit_llr,mad,0.136,0.048
0.6533653221052632,0.5838306694736842,0.14495145363369924,0.0476,0.4276,0.0,0.05,0.427157037037037,0.46304275132275136,0.0,0.0,0.572842962962963,-1,0.0,0.3864,0.1561263157894737,0.1152469577666428,0.3864,0.1775408932181584,8382,0.0368590513720025,phash_adaptive,0.05,ahash4,16,spatial,mean,bit_em,mad,0.136,0.149
0.45630213052631574,0.49239806315789475,0.048977560161573876,0.0,0.0612,0.0016,0.05,0.3934503703703704,0.4753787513227513,0.0,0.0128,0.6065496296296295,-1,0.0128,0.0,2.105263157894737e-05,0.0,0.0,0.0,1,0.0500010000200004,phash_adaptive,0.05,ahash4,16,spatial,mean,hamming_knn,mad,0.136,0.398
0.37755108210526317,0.4304589515789474,0.049167228141177674,0.0,0.0448,0.0,0.05,0.42164842328042335,0.4448603597883598,0.0,0.0,0.5783515767195766,-1,0.0,0.0728,0.12191578947368421,0.030470450359953122,0.0728,0.04295999055824384,5973,0.05264951052763077,phash_adaptive,0.05,ahash4,16,spatial,mean,hamming_ball,mad,0.136,0.395
