component,circ_n_mult,circ_n_and,circ_n_cmp,circ_n_eq,circ_n_b2a,circ_n_trunc,circ_n_local_mac,circ_rounds,protocol,rounds,and_gates,mults,online_bits,online_MB,offline_MB,online_bits_per_item,time_ms,latency_ms,bandwidth_ms,network
phash-sieve/bit_llr (B=256),50008.0,0.0,50000.0,0.0,12800000.0,0.0,12800000.0,17.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",17,16050000.0,50008.0,1715402048,214.425256,616.016384,34308.04096,9257.01024,680.0,8577.01024,WAN
phash-sieve/bit_llr private weights,121688.0,0.0,50000.0,0.0,12800000.0,0.0,12800000.0,26.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",26,16050000.0,121688.0,2529114096,316.139262,0.0,50582.28192,848.2380320000001,5.2,843.038032,LAN
phash-sieve/bit_llr private weights,121688.0,0.0,50000.0,0.0,12800000.0,0.0,12800000.0,26.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",26,16050000.0,121688.0,2529114096,316.139262,0.0,50582.28192,9470.38032,1040.0,8430.38032,WAN
phash-sieve/bit_llr private weights,121688.0,0.0,50000.0,0.0,12800000.0,0.0,12800000.0,26.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",26,16050000.0,121688.0,1733752128,216.719016,762.817024,34675.04256,872.076064,5.2,866.8760639999999,LAN
phash-sieve/bit_llr private weights,121688.0,0.0,50000.0,0.0,12800000.0,0.0,12800000.0,26.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",26,16050000.0,121688.0,1733752128,216.719016,762.817024,34675.04256,9708.76064,1040.0,8668.76064,WAN
phash-sieve/hash_stability (B=256),0.0,12800000.0,50000.0,0.0,0.0,0.0,0.0,12.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",12,14200000.0,0.0,42600000,5.325,0.0,852.0,16.6,2.4000000000000004,14.200000000000001,LAN
phash-sieve/hash_stability (B=256),0.0,12800000.0,50000.0,0.0,0.0,0.0,0.0,12.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",12,14200000.0,0.0,42600000,5.325,0.0,852.0,622.0,480.0,142.0,WAN
phash-sieve/hash_stability (B=256),0.0,12800000.0,50000.0,0.0,0.0,0.0,0.0,12.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",12,14200000.0,0.0,56800000,7.1,454.4,1136.0,30.800000000000004,2.4000000000000004,28.400000000000002,LAN
phash-sieve/hash_stability (B=256),0.0,12800000.0,50000.0,0.0,0.0,0.0,0.0,12.0,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",12,14200000.0,0.0,56800000,7.1,454.4,1136.0,764.0,480.0,284.0,WAN
phash-sieve/block_collision (49 tiles x 16 bit),111475000.0,0.0,111475000.0,2450000.0,0.0,0.0,0.0,459.0,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",459,5499025000.0,111475000.0,37900275000,4737.534375,0.0,758005.5,12725.225,91.80000000000001,12633.425000000001,LAN
