hash,n_bits,family,threshold,bit_agreement,circ_n_mult,circ_n_and,circ_n_cmp,circ_n_eq,circ_n_b2a,circ_n_trunc,circ_n_local_mac,circ_rounds,protocol,rounds,and_gates,mults,online_bits,online_MB,offline_MB,online_bits_per_item,time_ms,latency_ms,bandwidth_ms,network
rhash32,1024,residual,zero,0.9964141845703125,0,0,1024,0,0,5120,134144,6,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,328704,0,1970176,0.246272,10.518528,1970176.0,2.385088,1.4000000000000001,0.9850880000000001,LAN
rhash32,1024,residual,zero,0.9964141845703125,0,0,1024,0,0,5120,134144,6,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",7,328704,0,1970176,0.246272,10.518528,1970176.0,289.85088,280.0,9.85088,WAN
rhash_energy,256,residual,mean,0.999908447265625,1024,0,1280,0,1024,4864,93184,14,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",14,410880,1024,1625856,0.203232,0.0,1625856.0,3.341952,2.8000000000000003,0.541952,LAN
rhash_energy,256,residual,mean,0.999908447265625,1024,0,1280,0,1024,4864,93184,14,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",14,410880,1024,1625856,0.203232,0.0,1625856.0,565.41952,560.0,5.4195199999999994,WAN
rhash_energy,256,residual,mean,0.999908447265625,1024,0,1280,0,1024,4864,93184,14,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",15,410880,1024,2659328,0.332416,15.245312,2659328.0,4.329664,3.0,1.329664,LAN
rhash_energy,256,residual,mean,0.999908447265625,1024,0,1280,0,1024,4864,93184,14,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",15,410880,1024,2659328,0.332416,15.245312,2659328.0,613.29664,600.0,13.29664,WAN
mhash-sort,64,spatial,median,1.0,543,0,607,0,543,1887,13312,4350,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",4350,194847,543,793053,0.099131625,0.0,793053.0,870.264351,870.0,0.264351,LAN
mhash-sort,64,spatial,median,1.0,543,0,607,0,543,1887,13312,4350,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",4350,194847,543,793053,0.099131625,0.0,793053.0,174002.64351,174000.0,2.64351,WAN
mhash-sort,64,spatial,median,1.0,543,0,607,0,543,1887,13312,4350,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",4351,194847,543,1229436,0.1536795,7.347168,1229436.0,870.8147180000001,870.2,0.614718,LAN
mhash-sort,64,spatial,median,1.0,543,0,607,0,543,1887,13312,4350,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",4351,194847,543,1229436,0.1536795,7.347168,1229436.0,174046.14718,174040.0,6.1471800000000005,WAN
phash-sort,64,frequency,median,1.0,543,0,607,0,543,5663,134144,4350,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",4350,194847,543,793053,0.099131625,0.0,793053.0,870.264351,870.0,0.264351,LAN
phash-sort,64,frequency,median,1.0,543,0,607,0,543,5663,134144,4350,"3PC replicated (ABY3-style, semi-honest, Z_2^64)",4350,194847,543,793053,0.099131625,0.0,793053.0,174002.64351,174000.0,2.64351,WAN
phash-sort,64,frequency,median,1.0,543,0,607,0,543,5663,134144,4350,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",4351,194847,543,1712764,0.2140955,7.347168,1712764.0,871.0563820000001,870.2,0.8563820000000001,LAN
phash-sort,64,frequency,median,1.0,543,0,607,0,543,5663,134144,4350,"2PC SPDZ-style (semi-honest, Beaver triples, Z_2^64)",4351,194847,543,1712764,0.2140955,7.347168,1712764.0,174048.56382,174040.0,8.56382,WAN
